Track name,Artist,Popularity,Release year,Genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Vultures,B.o.B,17,2016,"genre:""Hip-Hop""",0.658,0.721,9,-6.229,1,0.0951,0.036,0.0,0.0828,0.121,100.071
Low Rider,Big Rome,11,2020,"genre:""Hip-Hop""",0.811,0.662,1,-8.846,0,0.182,0.711,0.0,0.263,0.555,97.51
Mind Gamez (feat. B-Dawg & Icee),Big Tone,10,2018,"genre:""Hip-Hop""",0.826,0.801,4,-5.602,1,0.132,0.401,0.0,0.349,0.757,90.003
פרסים,Shay TRA Litman,17,2021,"genre:""Hip-Hop""",0.798,0.42,0,-11.651,1,0.346,0.107,0.0,0.112,0.704,125.922
Ken Je Dat,Jiggy Djé,28,2006,"genre:""Hip-Hop""",0.861,0.557,1,-7.812,1,0.254,0.065,7.22e-05,0.171,0.71,85.472
Flying Legend,CHXPO,6,2017,"genre:""Hip-Hop""",0.764,0.656,1,-7.333,1,0.239,0.066,0.0,0.0806,0.35,153.014
Giddem,Burna Boy,39,2018,"genre:""Hip-Hop""",0.785,0.777,7,-6.211,1,0.248,0.0697,0.0,0.155,0.396,96.88
Roaches,Maxo Kream,51,2018,"genre:""Hip-Hop""",0.795,0.583,6,-6.442,1,0.336,0.588,0.0,0.142,0.332,82.016
PURE (with Meron T),El Londo,19,2023,"genre:""Hip-Hop""",0.779,0.522,4,-7.785,0,0.0621,0.677,0.161,0.0948,0.541,104.981
Rayon de soleil,Saké,39,2020,"genre:""Hip-Hop""",0.544,0.717,2,-7.196,1,0.626,0.235,0.0,0.303,0.215,84.373
B.I.B.O.,Dardan,29,2021,"genre:""Hip-Hop""",0.827,0.699,4,-4.802,0,0.0415,0.285,0.00915,0.3,0.806,136.996
La Pena Va por Dentro,Little Pepe,30,2016,"genre:""Hip-Hop""",0.645,0.611,5,-5.527,0,0.138,0.261,2.87e-05,0.293,0.862,81.022
rubinowe wino,Kuban,59,2023,"genre:""Hip-Hop""",0.884,0.625,10,-7.875,0,0.238,0.207,0.0,0.0984,0.406,100.016
No pienso bajar,Kraneando Actividad,3,2017,"genre:""Hip-Hop""",0.718,0.661,2,-5.437,1,0.219,0.301,0.0,0.103,0.818,93.004
JOHN 3:30,NXTMIKE,29,2021,"genre:""Hip-Hop""",0.745,0.517,10,-10.033,0,0.202,0.53,0.00785,0.101,0.179,111.94
Shine,Buddy,19,2019,"genre:""Hip-Hop""",0.7,0.65,1,-6.917,1,0.128,0.000107,0.0,0.254,0.445,138.994
Just Incase,Dann Dib,9,2023,"genre:""Hip-Hop""",0.726,0.574,6,-6.691,1,0.192,0.817,3.59e-06,0.199,0.616,83.938
"Leah, Pt. 2",Toosii,23,2019,"genre:""Hip-Hop""",0.413,0.58,8,-8.563,0,0.286,0.137,0.0,0.222,0.358,75.944
"Morena, Vol. 2",ILUMINATIK BUFFON,23,2022,"genre:""Hip-Hop""",0.908,0.715,5,-8.935,0,0.245,0.143,0.00476,0.12,0.656,88.994
Wieść,Kasta,7,2011,"genre:""Hip-Hop""",0.789,0.651,1,-5.924,1,0.387,0.39,4.66e-06,0.152,0.843,93.064
Snow - Slowed + Reverb,Drup,8,2020,"genre:""Hip-Hop""",0.634,0.453,8,-11.514,1,0.218,0.192,0.00927,0.096,0.0547,131.52
El Orgullo Nos Mata,Homiecidio Bando,30,2012,"genre:""Hip-Hop""",0.838,0.68,5,-7.257,0,0.255,0.146,0.0,0.115,0.601,92.015
Jeep music,Bassi Maestro,13,2001,"genre:""Hip-Hop""",0.938,0.625,10,-6.72,1,0.397,0.309,0.0,0.17,0.75,98.018
CHOKE,VI The Law,1,2023,"genre:""Hip-Hop""",0.611,0.566,8,-10.558,1,0.404,0.305,2.54e-06,0.131,0.615,73.556
L'allumeur de mèche,Sefyu,4,2010,"genre:""Hip-Hop""",0.82,0.935,7,-3.445,0,0.275,0.344,0.0,0.49,0.709,79.993
Rockstar,Einár,57,2020,"genre:""Hip-Hop""",0.892,0.643,4,-6.931,0,0.157,0.0161,1.2e-06,0.118,0.243,102.008
