Track ID,Track name,Artist,Popularity,Release year,Genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4xhsWYTOGcal8zt0J161CU,Lovin On Me,Jack Harlow,97,2023,"genre:""Hip-Hop""",0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,138411,4
2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat),Drake,93,2023,"genre:""Hip-Hop""",0.663,0.67,8,-8.399,1,0.271,0.0464,8.92e-05,0.205,0.138,136.952,260111,4
7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),Drake,91,2023,"genre:""Hip-Hop""",0.47,0.64,2,-7.779,1,0.32,0.0277,0.0,0.382,0.248,163.92,247444,4
68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,J. Cole,91,2014,"genre:""Hip-Hop""",0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,292799,4
4rXLjWdF2ZZpXCVTfWcshS,fukumean,Gunna,93,2023,"genre:""Hip-Hop""",0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,125040,4
6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,Travis Scott,91,2023,"genre:""Hip-Hop""",0.927,0.619,5,-4.441,0,0.0539,0.0186,0.0,0.104,0.817,117.995,211582,4
1udwFobQ1JoOdWPQrp2b6u,Surround Sound (feat. 21 Savage & Baby Tate),JID,92,2022,"genre:""Hip-Hop""",0.575,0.56,5,-7.302,1,0.478,0.173,0.0,0.257,0.471,75.956,229938,4
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator",92,2017,"genre:""Hip-Hop""",0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387,4
3xKsf9qdS1CyvXSMEid6g8,Pink + White,Frank Ocean,91,2016,"genre:""Hip-Hop""",0.545,0.545,9,-7.362,1,0.107,0.667,5.48e-05,0.417,0.549,159.94,184516,3
1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,89,2023,"genre:""Hip-Hop""",0.645,0.729,2,-4.56,1,0.0528,0.0377,0.0,0.384,0.142,146.01,319192,4
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),Drake,89,2022,"genre:""Hip-Hop""",0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365,4
2HbKqm4o0w5wEeEFXm2sD4,Money Trees,Kendrick Lamar,84,2012,"genre:""Hip-Hop""",0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,386907,4
4EWCNWgDS8707fNSZ1oaA5,Heartless,Kanye West,90,2008,"genre:""Hip-Hop""",0.79,0.647,10,-5.983,0,0.136,0.0515,0.0,0.248,0.654,87.999,211000,4
6pcywuOeGGWeOQzdUyti6k,Glock In My Lap,21 Savage,87,2020,"genre:""Hip-Hop""",0.847,0.733,10,-6.439,0,0.16,0.00574,1.04e-05,0.151,0.202,130.029,193591,4
4tqcoej1zPvwePZCzuAjJd,Wet Dreamz,J. Cole,86,2014,"genre:""Hip-Hop""",0.495,0.722,6,-8.108,0,0.357,0.0697,0.0,0.113,0.539,175.627,239267,4
4KW1lqgSr8TKrvBII0Brf8,Father Stretch My Hands Pt. 1,Kanye West,89,2016,"genre:""Hip-Hop""",0.724,0.573,7,-4.113,1,0.0549,0.118,0.0,0.538,0.438,113.088,135920,4
5TRPicyLGbAF2LGBFbHGvO,Flashing Lights,Kanye West,90,2007,"genre:""Hip-Hop""",0.639,0.628,6,-7.578,0,0.0399,0.0381,0.0,0.386,0.43,90.482,237507,4
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),Travis Scott,89,2023,"genre:""Hip-Hop""",0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,191701,4
67nepsnrcZkowTxMWigSbb,MELTDOWN (feat. Drake),Travis Scott,88,2023,"genre:""Hip-Hop""",0.557,0.774,7,-5.275,0,0.351,0.012,0.0,0.396,0.397,111.975,246134,4
1i9lZvlaDdWDPyXEE95aiq,TELEKINESIS (feat. SZA & Future),Travis Scott,87,2023,"genre:""Hip-Hop""",0.458,0.535,5,-4.854,0,0.0281,0.575,0.0,0.168,0.216,82.826,353755,4
1bDbXMyjaUIooNwFE9wn0N,Rich Flex,Drake,87,2022,"genre:""Hip-Hop""",0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,239360,3
7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (with Metro Boomin),Offset,87,2017,"genre:""Hip-Hop""",0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007,172800,4
59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),Future,86,2022,"genre:""Hip-Hop""",0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,189893,4
3DK6m7It6Pw857FcQftMds,Runaway,Kanye West,88,2010,"genre:""Hip-Hop""",0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,547733,4
7rbECVPkY5UODxoOUVKZnA,I Wonder,Kanye West,89,2007,"genre:""Hip-Hop""",0.542,0.466,0,-8.665,1,0.0831,0.141,0.000445,0.125,0.124,191.385,243440,4
0YsGMHid6sFq5PcToe3JZE,Les,Childish Gambino,86,2011,"genre:""Hip-Hop""",0.541,0.674,1,-7.04,0,0.0841,0.00649,9.76e-05,0.235,0.123,103.139,317293,4
3azJifCSqg9fRij2yKIbWz,The Color Violet,Tory Lanez,90,2021,"genre:""Hip-Hop""",0.645,0.534,6,-10.8,0,0.0479,0.157,0.0,0.0863,0.463,105.02,226467,4
4lH6nENd1y81jp7Yt9lTBX,Solo,Future,84,2017,"genre:""Hip-Hop""",0.784,0.486,5,-6.497,0,0.0475,0.0538,0.497,0.101,0.0894,110.964,265996,4
